name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
portugal,2018-09-01T00:00:00,27.1,26.8,11.3,37.52,0,0,,0,0,32,13.8,330,1014.1,0,10,0,0,0,,Clear,clear-night,"08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-01T01:00:00,26.8,26.6,11.1,37.52,0,0,,0,0,30.6,11,340,1014,0,11.6,0,0,0,,Clear,clear-night,"08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-01T02:00:00,26.7,26.7,10.6,36.6,0,0,,0,0,28.8,11.2,345,1013.8,0,10,0,0,0,,Clear,clear-night,"08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-01T03:00:00,26.7,26.4,9.6,34,0,0,,0,0,27,10.2,339,1013.5,0,10,0,0,0,,Clear,clear-night,"08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-01T04:00:00,27.5,27,10.5,34.62,0,0,,0,0,26.3,13.3,351,1012.6,0,11.6,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-01T05:00:00,26.5,26.5,11,37.86,0,0,,0,0,26.3,10,4,1012.2,0,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-01T06:00:00,21.9,21.9,14.8,64.18,0,0,,0,0,26.3,7.4,72,1012.9,0,10,0,0,0,,Clear,clear-night,"08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-01T07:00:00,21.2,21.2,14.3,64.65,0,0,,0,0,25.6,5.5,53,1013,0,11.6,0,0,0,,Clear,clear-night,"08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-01T08:00:00,22.5,22.5,14.1,59.28,0,0,,0,0,19.4,10.7,41,1013.2,0.4,10,31,0.1,0,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-09-01T09:00:00,23,23,14.1,57.24,0,0,,0,0,16.2,12.2,68,1013.9,0.4,10,198,0.7,2,,Clear,clear-day,"08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-09-01T10:00:00,26.1,26.1,15.3,51.38,0,0,,0,0,14,7.5,51,1013.4,0,9.1,385,1.4,4,,Clear,clear-day,"08535099999,08532099999,08534099999,D7126,08536099999,LPPT"
portugal,2018-09-01T11:00:00,26.5,26.5,14.2,46.66,0,0,,0,0,16.2,9.8,79,1014.3,0.8,10,556,2,6,,Clear,clear-day,"08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-09-01T12:00:00,28.5,28.4,14.8,43.3,0,0,,0,0,33.5,9.3,222,1014.6,0,10,685,2.5,7,,Clear,clear-day,"08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-09-01T13:00:00,29.9,29.2,13.5,36.58,0,0,,0,0,22,17.4,242,1014.1,0,11.5,764,2.8,8,,Clear,clear-day,"08532099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-09-01T14:00:00,30.5,30,14.5,37.6,0,0,,0,0,22,17.5,238,1013.8,0.9,10,789,2.8,8,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-09-01T15:00:00,31,30.6,14.8,37.35,0,0,,0,0,22.3,14.5,256,1013.5,6.1,10,762,2.7,8,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-09-01T16:00:00,32.5,31.9,14.6,34.03,0,0,,0,0,22.3,15.2,241,1012.8,0,11.6,680,2.4,7,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-09-01T17:00:00,32.1,31.9,15.6,37.2,0,0,,0,0,24.1,17.2,260,1012,6.9,10,541,1.9,5,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT"
portugal,2018-09-01T18:00:00,30.5,30.6,16.3,42.55,0,0,,0,0,24.5,19.3,277,1012.2,6.2,10,369,1.3,4,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-09-01T19:00:00,28.7,29.1,16.8,48.51,0,0,,0,0,23,20.1,272,1012.3,0,11.6,181,0.7,2,,Clear,clear-day,"08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-09-01T20:00:00,27,28.1,18.6,60.25,0,0,,0,0,19.8,17.4,272,1012.2,4.9,10,38,0.1,0,,Clear,clear-day,"08535099999,08534099999,D7126,08536099999,LPPT,08579099999"
portugal,2018-09-01T21:00:00,26.1,26.1,18.6,63.26,0,0,,0,0,16.6,11.7,277,1012.8,4,10,0.1,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-01T22:00:00,25.1,25.1,18.3,66.08,0,0,,0,0,14,5.5,278,1013.3,0,11.6,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-01T23:00:00,24.1,24.1,18.1,69.4,0,0,,0,0,11.5,5.3,240,1013.5,8.1,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-02T00:00:00,24,24,18.4,70.73,0,0,,0,0,10.1,5.8,268,1013.4,0,10,0,0,0,,Clear,clear-night,"08535099999,08534099999,08536099999,LPPT,08579099999"
portugal,2018-09-02T01:00:00,23.6,23.6,18.5,73.16,0,0,,0,0,8.3,9.8,229,1013.3,0,11.6,0,0,0,,Clear,clear-night,"08534099999,08536099999,LPPT,08579099999"
